InputSize,Algorithm,Time,Comparisons,Case
1000,MergeSort,0.000189,8711,average
1000,BubbleSort,0.000995,499500,average
1000,InsertionSort,0.000356,248981,average
1000,QuickSortMedian,0.000042,14158,average
1000,HeapSort,0.000083,16870,average
1000,RadixSort,0.000031,NA,average
1450,MergeSort,0.000238,13453,average
1450,BubbleSort,0.002034,1050525,average
1450,InsertionSort,0.000790,531635,average
1450,QuickSortMedian,0.000078,22077,average
1450,HeapSort,0.000143,26065,average
1450,RadixSort,0.000049,NA,average
1900,MergeSort,0.000304,18308,average
1900,BubbleSort,0.003593,1804050,average
1900,InsertionSort,0.001386,884316,average
1900,QuickSortMedian,0.000117,30331,average
1900,HeapSort,0.000203,35623,average
1900,RadixSort,0.000067,NA,average
2350,MergeSort,0.000382,23404,average
2350,BubbleSort,0.005713,2760075,average
2350,InsertionSort,0.002195,1405155,average
2350,QuickSortMedian,0.000152,38625,average
2350,HeapSort,0.000259,45463,average
2350,RadixSort,0.000082,NA,average
2800,MergeSort,0.000440,28564,average
2800,BubbleSort,0.007966,3918600,average
2800,InsertionSort,0.002967,1924299,average
2800,QuickSortMedian,0.000193,47473,average
2800,HeapSort,0.000321,55683,average
2800,RadixSort,0.000094,NA,average
3250,MergeSort,0.000532,33845,average
3250,BubbleSort,0.010921,5279625,average
3250,InsertionSort,0.004089,2671890,average
3250,QuickSortMedian,0.000226,57019,average
3250,HeapSort,0.000379,65914,average
3250,RadixSort,0.000113,NA,average
3700,MergeSort,0.000605,39177,average
3700,BubbleSort,0.014274,6843150,average
3700,InsertionSort,0.005234,3446324,average
3700,QuickSortMedian,0.000258,63992,average
3700,HeapSort,0.000425,76406,average
3700,RadixSort,0.000128,NA,average
4150,MergeSort,0.000668,44668,average
4150,BubbleSort,0.016425,8609175,average
4150,InsertionSort,0.005756,4342826,average
4150,QuickSortMedian,0.000258,74533,average
4150,HeapSort,0.000438,86991,average
4150,RadixSort,0.000138,NA,average
4600,MergeSort,0.000717,50182,average
4600,BubbleSort,0.019042,10577700,average
4600,InsertionSort,0.006848,5282940,average
4600,QuickSortMedian,0.000295,82462,average
4600,HeapSort,0.000490,97819,average
4600,RadixSort,0.000149,NA,average
5050,MergeSort,0.000798,55858,average
5050,BubbleSort,0.022792,12748725,average
5050,InsertionSort,0.008199,6356370,average
5050,QuickSortMedian,0.000324,90993,average
5050,HeapSort,0.000550,108966,average
5050,RadixSort,0.000156,NA,average
5500,MergeSort,0.000850,61534,average
5500,BubbleSort,0.027072,15122250,average
5500,InsertionSort,0.010809,7556556,average
5500,QuickSortMedian,0.000418,101367,average
5500,HeapSort,0.000631,120098,average
5500,RadixSort,0.000185,NA,average
5950,MergeSort,0.001003,67211,average
5950,BubbleSort,0.036055,17698275,average
5950,InsertionSort,0.012994,8852740,average
5950,QuickSortMedian,0.000452,110118,average
5950,HeapSort,0.000703,131350,average
5950,RadixSort,0.000201,NA,average
6400,MergeSort,0.001131,72897,average
6400,BubbleSort,0.040758,20476800,average
6400,InsertionSort,0.012938,10241045,average
6400,QuickSortMedian,0.000437,121510,average
6400,HeapSort,0.000716,142541,average
6400,RadixSort,0.000203,NA,average
6850,MergeSort,0.001086,78789,average
6850,BubbleSort,0.046555,23457825,average
6850,InsertionSort,0.017191,11686646,average
6850,QuickSortMedian,0.000533,132429,average
6850,HeapSort,0.000842,153877,average
6850,RadixSort,0.000246,NA,average
7300,MergeSort,0.001311,84483,average
7300,BubbleSort,0.049050,26641350,average
7300,InsertionSort,0.019325,13388256,average
7300,QuickSortMedian,0.000580,138730,average
7300,HeapSort,0.000908,165186,average
7300,RadixSort,0.000256,NA,average
7750,MergeSort,0.001377,90371,average
7750,BubbleSort,0.059164,30027375,average
7750,InsertionSort,0.019294,15144403,average
7750,QuickSortMedian,0.000549,150818,average
7750,HeapSort,0.000885,176373,average
7750,RadixSort,0.000268,NA,average
8200,MergeSort,0.001314,96194,average
8200,BubbleSort,0.066036,33615900,average
8200,InsertionSort,0.024761,16905575,average
8200,QuickSortMedian,0.000667,166325,average
8200,HeapSort,0.001052,187874,average
8200,RadixSort,0.000314,NA,average
8650,MergeSort,0.001434,102118,average
8650,BubbleSort,0.068420,37406925,average
8650,InsertionSort,0.027298,18798910,average
8650,QuickSortMedian,0.000702,171483,average
8650,HeapSort,0.001100,199689,average
8650,RadixSort,0.000330,NA,average
9100,MergeSort,0.001705,108296,average
9100,BubbleSort,0.086349,41400450,average
9100,InsertionSort,0.030238,20574504,average
9100,QuickSortMedian,0.000732,185037,average
9100,HeapSort,0.001163,211511,average
9100,RadixSort,0.000345,NA,average
9550,MergeSort,0.001783,114399,average
9550,BubbleSort,0.089331,45596475,average
9550,InsertionSort,0.029540,22658389,average
9550,QuickSortMedian,0.000689,189401,average
9550,HeapSort,0.001124,223478,average
9550,RadixSort,0.000324,NA,average
